YHL031c|YKL196c
YHL031c|YLR026c
YHR069c|YOL021c
YHR129c|YNL189w
YHR158c|YHR158c
YHR166c|YKL022c
YHR166c|YLR102c
YHR166c|YLR127c
YHR166c|YLR127c
YHR166c|YNL172w
YHR166c|YNL172w
YHR166c|YOR249c
YIL021w|YOL135c
YIL021w|YOR174w
YIL022w|YNR017w
YIL022w|YNR017w
YIL046w|YJL187c
YIL052c|YDR395w
YIL133c|YDR395w
YIR006c|YNL084c
YJL054w|YOR297c
YJL124c|YOL149w
YJL128c|YLR113w
YJR022w|YLR438c-a
YJR045c|YOR232w
YJR075w|YPL050c
YKL006c-a|YLR026c
YKL022c|YLR102c
YKL022c|YLR127c
YKL022c|YLR127c
YKL022c|YNL172w
YKL022c|YNL172w
YKL022c|YOR249c
YKL028w|YKR062w
YKL058w|YOR194c
YKL196c|YMR197c
YKR068c|YML077w
YKR068c|YML077w
YKR068c|YMR218c
YKR068c|YOR115c
YLL024c|YLR310c
YLR026c|YMR197c
YLR079w|YPR120c
YLR093c|YOR106w
YLR102c|YLR127c
YLR102c|YNL172w
YLR102c|YOR249c
YLR127c|YNL172w
YLR127c|YOR249c
YLR148w|YLR396c
YLR148w|YMR231w
YLR148w|YPL045w
YLR268w|YOR075w
YLR335w|YNL189w
YLR396c|YMR231w
YLR396c|YPL045w
YLR438c-a|YOL149w
YML054c|YNR017w
YML077w|YMR218c
YML077w|YOR115c
YML103c|YMR129w
YML115c|YPL050c
YMR197c|YOR036w
YMR197c|YOR106w
YMR203w|YNL070w
YMR203w|YNL121c
YMR203w|YNL131w
YMR203w|YOR045w
YMR203w|YOR045w
YMR203w|YPR133w-a
YMR218c|YOR115c
YMR231w|YPL045w
YNL004w|YOR160w
YNL062c|YOR361c
YNL062c|YOR361c
YNL069c|YDR395w
YNL070w|YNL121c
YNL070w|YNL131w
YNL147w|YOL149w
YNL172w|YOR249c
YNL189w|YOR098c
YOL018c|YOR327c
YOL090w|YOR033c
YOL135c|YOR174w
